Model,Timestamp,learning_rate,out_channels,Epoch,Weight_decay,Dropout,Loss,Accuracy,Precision,Recall,F1 Score,MRR,ROC-AUC
DisMult,20240625132728,0.01,20,200,0.0005,0.1,0.2844545841217041,0.8795,0.8763102725366876,0.6966666666666667,0.7762302692664809,0.011075315065681934,0.8272619047619049
DisMult-T,20240625132828,0.01,20,200,0.0005,0.1,0.63328617811203,0.89,0.8345070422535211,0.79,0.8116438356164384,0.011203701607882977,0.8614285714285714
ComplEx,20240625132931,0.01,15,100,5e-05,0.1,0.6380532383918762,0.8885,0.7877862595419848,0.86,0.8223107569721116,0.007528137415647507,0.8803571428571428
ComplEx-T,20240625133048,0.01,15,100,5e-05,0.1,0.6426633596420288,0.8765,0.7753510140405616,0.8283333333333334,0.8009669621273167,0.009258313104510307,0.8627380952380952
ComplEx-T+W,20240625133134,0.01,15,100,5e-05,0.1,0.6411929726600647,0.8835,0.7844961240310078,0.8433333333333334,0.8128514056224899,0.010634511709213257,0.8720238095238095
DisMult,20240625133304,0.01,30,200,0.0005,0.1,0.3173658549785614,0.884,0.8709677419354839,0.72,0.7883211678832117,0.011226117610931396,0.8371428571428571
DisMult,20240625133350,0.01,30,100,0.0005,0.1,0.28409138321876526,0.886,0.8470149253731343,0.7566666666666667,0.7992957746478873,0.011052209883928299,0.849047619047619
DisMult,20240625135350,0.01,25,100,0.0005,0.1,0.46931174397468567,0.75438,0.8472959596868532,0.4708,0.6052775367209848,0.00021397345699369907,0.7071166666666667
DisMult-T,20240625135631,0.01,25,100,0.0005,0.1,0.6062291264533997,0.8802,0.8334761496715224,0.8754,0.8539238160269229,0.000243354108533822,0.8793999999999998
DisMult-T+W,20240625135640,0.01,25,100,0.0005,0.1,0.6161449551582336,0.8772,0.8350739773716275,0.86355,0.8490733002310603,0.0002511623897589743,0.8749250000000001
